workload,workers,best_static_strategy,best_static_mean_iteration_time_s,adaptive_mean_iteration_time_s,adaptive_improvement_percent
dynamic_mixed,2,async_ps_ssp,0.0628514469606305,0.05575513875514,11.290604351456777
dynamic_mixed,4,async_ps_ssp,0.1184545853516907,0.1028274228183701,13.192534917009494
heterogeneous_high_bw,2,async_ps_ssp,0.009730691140928,0.0270733424830357,-178.22630572625243
heterogeneous_high_bw,4,async_ps_ssp,0.0140589036622572,0.0414650442696187,-194.93796433740812
homogeneous_high_bw,2,ring_allreduce,0.0044573323659322,0.0044418128169495,0.34818020530210425
homogeneous_high_bw,4,ring_allreduce,0.0099295538885799,0.0099262161421614,0.033614263600883404
worker_crash,2,async_ps_ssp,0.0095753531526048,0.0269947106420211,-181.91869492226178
worker_crash,4,async_ps_ssp,0.0128315490202429,0.0410146894471002,-219.6394245339819
