workload,strategy,workers,repeat,status,steps_completed,mean_iteration_time_s,p95_iteration_time_s,throughput_samples_s,comm_fraction,straggler_impact_rate,final_val_loss,time_to_target_loss_s,mode_switches,failure_step,recovery_time_steps,wall_clock_run_s
homogeneous_high_bw,sync_ps,2,0,success,36,0.01084830398892359,0.011237960657531316,5900.82165439154,0.9913832922768133,0.0,0.5730143565022827,0.12975438728724295,0,,,0.2841768999933265
homogeneous_high_bw,sync_ps,4,0,success,36,0.01949855406893154,0.01969107982032596,6564.801633692341,0.9930315257763742,0.0,0.47396207479734576,0.1758749780217253,0,,,1.6505255999945803
homogeneous_high_bw,async_ps_ssp,2,0,success,36,0.007022174620374381,0.007105077181627087,9114.444634386788,1.525555296027345,0.0,0.5470616547696567,0.0772931940815122,0,,,0.29942910000681877
homogeneous_high_bw,async_ps_ssp,4,0,success,36,0.012688318900558111,0.012868458368601673,10088.624464091796,1.5290089951562291,0.027777777777777776,0.6762962572742147,nan,0,,,1.6906234999914886
homogeneous_high_bw,ring_allreduce,2,0,success,36,0.004457332365932222,0.00475101713012366,14385.34258683664,0.9540086252811667,0.0,0.47837710321528965,0.031188924947126547,0,,,0.29000220001034904
homogeneous_high_bw,ring_allreduce,4,0,success,36,0.009929553888579985,0.010312140176625285,12900.591641802073,0.9387856618437538,0.0,0.5118930061772484,0.09951390390278395,0,,,1.8760668000031728
homogeneous_high_bw,adaptive,2,0,success,36,0.004441812816949569,0.004794429977715667,14439.57329659297,0.9528960543205491,0.0,0.3690786344091548,0.02224466931435418,0,,,0.2830743000085931
homogeneous_high_bw,adaptive,4,0,success,36,0.00992621614216144,0.010631484255295587,12907.441607061806,0.9424296328792564,0.0,0.35423975868408075,0.049984366012199244,0,,,1.6594455999875208
heterogeneous_high_bw,sync_ps,2,0,success,36,0.01607761029468245,0.01644326596212718,3981.4278876012654,0.6668882898876204,0.0,0.5339321708565374,0.16046263672916164,0,,,0.5275277000037022
heterogeneous_high_bw,sync_ps,4,0,success,36,0.02477085065274327,0.025128778103850936,5167.704490235354,0.7806531420900771,1.0,0.4521169995817048,0.14856572176473332,0,,,2.0365335999958916
heterogeneous_high_bw,async_ps_ssp,2,0,success,36,0.009730691140928097,0.01010252120087865,6578.902036319834,1.1017249455334013,0.0,0.6076041854595094,0.21326944765839462,0,,,0.5233414000103949
heterogeneous_high_bw,async_ps_ssp,4,0,success,36,0.014058903662257208,0.014238522232241806,9104.896540400016,1.376750854513152,1.0,0.5887050153156853,0.32272293529892015,0,,,2.3148481999960495
heterogeneous_high_bw,ring_allreduce,2,0,success,36,0.1128740116612167,0.12021966692775578,567.8708597356238,0.037578422553020525,0.0,0.5829688181797106,1.4676586862935963,0,,,0.5883692999923369
heterogeneous_high_bw,ring_allreduce,4,0,success,36,0.1905798588693538,0.20177932832785858,672.4910162048566,0.04896673160639412,1.0,0.4768051708758755,1.331733638913368,0,,,2.1121495999977924
heterogeneous_high_bw,adaptive,2,0,success,36,0.02707334248303573,0.11674868263098691,5574.62501688711,0.9222856989417016,0.0,0.7371188500795419,nan,1,,,0.6070124000107171
