workload,strategy,effective_strategy,workers,repeat,step,status,mode,active_workers,iteration_time_s,compute_time_s,max_compute_time_s,comm_time_s,comm_fraction,local_loss,val_loss,throughput_samples_s,worker_cv,straggler_impact,mode_switched,switch_reason,failure_step,recovery_step
homogeneous_high_bw,sync_ps,sync_ps,2,0,0,success,ps,2,0.010822114511735844,0.00013129999570082873,0.0001483999949414283,0.010673714516794415,0.9862873383218688,1.0926475065786467,0.9725930562724765,5913.816558732249,0.13023609802186417,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,1,success,ps,2,0.010776936579489997,8.040000102482736e-05,8.279999019578099e-05,0.010694136589294216,0.9923169270242008,0.9375037117951293,0.8768870508644068,5938.6078342337905,0.029850610827254948,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,2,success,ps,2,0.01070740000389982,6.474999827332795e-05,6.740000389982015e-05,0.01064,0.9937052875697862,0.8569803085922729,0.8185615160436657,5977.174662073901,0.0409267282815832,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,3,success,ps,2,0.010818077928895572,8.555000385968015e-05,9.300000965595245e-05,0.01072507791923962,0.9914032778958316,0.8224002400870806,0.7853966303126214,5916.023199375661,0.08708363966187813,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,4,success,ps,2,0.010769954564794838,7.935000030556694e-05,9.050000517163426e-05,0.010679454559623203,0.9915969928538544,0.7400686070595106,0.7427087948319147,5942.457752719328,0.14051675718479253,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,5,success,ps,2,0.01080636722295762,5.7999997807201e-05,6.78999931551516e-05,0.010738467229802469,0.9937166679833995,0.7317616705370877,0.7222674650209421,5922.434309287121,0.17068957847498217,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,6,success,ps,2,0.010800811652253764,5.5300006351899356e-05,5.5800002883188426e-05,0.010745011649370575,0.9948337213276426,0.6885526115919823,0.7127150951421569,5925.480608361999,0.009041527392706535,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,7,success,ps,2,0.010816322207468365,6.304999988060445e-05,6.890000076964498e-05,0.01074742220669872,0.9936299973828376,0.661828557286776,0.6850559154634943,5916.983497016186,0.09278351795931723,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,8,success,ps,2,0.01070599999323953,5.3800002206116915e-05,6.599999323952943e-05,0.01064,0.9938352332074345,0.6953283748834349,0.6684227612420053,5977.956289969531,0.2267656190776102,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,9,success,ps,2,0.010709899993832223,6.419999408535659e-05,6.989999383222312e-05,0.01064,0.9934733289879011,0.6340173052663935,0.6587672248095472,5975.779422483615,0.08878504958276298,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,10,success,ps,2,0.011064937759605459,6.615000165766105e-05,7.20999960321933e-05,0.010992837763573265,0.9934839221332625,0.5623394873107995,0.6503842761039313,5784.036150085135,0.08994700129226925,0.0,0,,,
